	0	1	2	3	4	5	6	7	8	9
(2E)-Hexenoyl-[acp]	('AC-4', 64)	('AC-1', 64)	('ADP', 60)	('Lex', 60)	('CMP', 60)	('a-Hederin', 57)	('LST c', 54)	"(""2'-FL"", 54)"	('LST a', 54)	('Lacto-N-fucopentaosyl III ceramide', 51)
4'-Hydroxymethyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	('Zwitterionic glycosphingolipid 3', 86)	('1,4-alpha-D-Glucan', 86)	('1,4-alpha-Glucan', 86)	"(""Adenosine 5'-phosphate"", 86)"	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('Chondroitin 4-sulfate', 86)	('1,4-beta-D-Xylan', 86)	('(1,4-beta-D-Xylan)n', 86)	('(1,4-beta-D-Xylan)n+1', 86)	('3-Ketosucrose', 86)
Decanoyl-[acyl-carrier protein]	('Mannoprotein', 64)	('Mannoprotein', 64)	('LST c', 54)	('Rutin', 54)	('deca-VIM-2', 54)	('LST a', 54)	('Decaisoide A', 52)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 52)	('Desacyl-jego-saponin', 52)	('Decaffeoyl acteoside', 52)
Argininosuccinic acid	('Alginic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Pectic acid', 86)	('Cytidylic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('RG-II', 72)
L-Palmitoylcarnitine	('GDP-L-fucose', 86)	('Maltitol', 68)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)
proton	('PSGP, polysialoglycoprotein', 60)	('PSGP, polysialoglycoprotein', 60)	('Chondroitin 6-sulfate', 60)	('Chondroitin 4-sulfate', 60)	('polysialoglycoprotein', 60)	('Chondroitin 6-sulfate', 60)	('Ophiopogonin-D', 60)	('Chondroitin 4-sulfate', 60)	('PSGP, polysialoglycoprotein', 60)	('Notoginsenoside-R2', 60)
Water	('Marthasteroside B', 72)	('Marthasteroside A', 72)	('asteryunnanoside', 72)	('Cosmasteroside B', 72)	('Cosmasteroside D', 72)	('Cosmasteroside C', 72)	('Thornasteroside A', 72)	('Neogalatetraosylceramide', 72)	('Malt-Cer', 62)	('Chondroitin 6-sulfate', 60)
3-Oxohexadecanoyl-[acyl-carrier protein]	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GalpNAc-1-3-Galp', 86)	('Core 3-sialyl-Tn', 86)	"(""3'-Galactosyllactose"", 86)"	('Gymnepregoside C(3)', 86)	"(""3',8'-LD1"", 86)"	('3-Fucosyllactosamine', 86)
HMA	('Chacotriose', 60)	('Chacotrioside', 60)	('Dec-P-P-GlcNAc-Rha', 60)	('Rhamnogalacturonan II', 60)	('GT1aalpha', 60)	('Maltotriose derivative', 60)	('Maltotriose derivative', 60)	('Dismally Le(a)', 60)	('Malt-Cer', 60)	('1,4-alpha-D-Glucan', 60)
GDP	('GDP', 100)	('GDP-L-fucose', 90)	('GDP-glucose', 90)	('GDP-D-mannose', 90)	('GDP-mannose', 90)	('ADP', 67)	('GD3', 67)	('GD3', 67)	('GD2', 67)	('UDP', 67)
GTP	('GT2', 67)	('GDP', 67)	('GT3', 67)	('1,1,1-kestopentaose', 60)	('GT1aalpha', 60)	('GXTGol', 60)	('10G epitope', 60)	('Penta-acetyl-gitoxin', 60)	('Stephanoside', 60)	('GT1a-9OAc', 60)
Presqualene diphosphate	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 86)	('Guanosine diphosphate', 73)	('Trehalose 6-phosphate', 68)	"(""Guanosine 5'-diphosphate"", 68)"	"(""Uridine 5'-diphosphate"", 67)"	('Pentamannose phosphate', 67)	"(""Adenosine 5'-phosphate"", 62)"	('Tetramannose phosphate', 62)	('Uridine diphosphate glucose', 62)	('Uridene diphosphate galactose', 62)
GMP	('GM3', 67)	('GM3', 67)	('GM4', 67)	('GM2', 67)	('GM3', 67)	('GM3', 67)	('GDP', 67)	('GM1', 67)	('CMP', 67)	('GM1', 67)
Octanoyl-[acyl-carrier protein]	('Mannoprotein', 64)	('Mannoprotein', 64)	('Acetan', 57)	('LST c', 54)	('Rutin', 54)	('LST a', 54)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 52)	('Saponin', 51)	('Saponin', 51)	('polysialoglycoprotein', 51)
3-Mercaptopyruvic acid	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	('3-Deoxy-D-manno-octulosonyl-lipid IV(A)', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('Alginic acid', 86)	('3-Ketosucrose', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GL-3', 86)	('Alginic acid', 86)	"(""3',8'-LD1"", 86)"
2-Phospho-D-glyceric acid	('Sialyldi-Y-2', 86)	('Scillasaponin D', 86)	('Aldoligose D', 86)	('Glycolipid 2', 86)	('GL-2', 86)	('UDP-D-xylose', 86)	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	('3-Deoxy-D-manno-octulosonyl-lipid IV(A)', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('Pharbitic acid D', 86)
D-Erythrose 4-phosphate	('Scillasaponin D', 86)	('Aldoligose D', 86)	('UDP-D-xylose', 86)	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	('SSEA-4', 86)	('3-Deoxy-D-manno-octulosonyl-lipid IV(A)', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('1-alpha-D-Galactosyl-D-myo-inositol', 86)	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('Ophiopogonin-D', 86)
4'-Formyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol	('SSEA-4', 86)	('1,4-alpha-D-Glucan', 86)	('1,4-alpha-Glucan', 86)	"(""Adenosine 5'-phosphate"", 86)"	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('Chondroitin 4-sulfate', 86)	('1,4-beta-D-Xylan', 86)	('(1,4-beta-D-Xylan)n', 86)	('(1,4-beta-D-Xylan)n+1', 86)
(2E)-Tetradecenoyl-[acp]	('Hep tetra', 70)	('AC-4', 64)	('AC-1', 64)	('ADP', 60)	('Acetan', 60)	('Aescin', 60)	('CMP', 60)	('LST c', 54)	"(""2'-FL"", 54)"	('LST a', 54)
3-Oxotetradecanoyl-[acyl-carrier protein]	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GalpNAc-1-3-Galp', 86)	('Core 3-sialyl-Tn', 86)	"(""3'-Galactosyllactose"", 86)"	('Gymnepregoside C(3)', 86)	"(""3',8'-LD1"", 86)"	('3-Fucosyllactosamine', 86)
Deoxyadenosine monophosphate	"(""Adenosine 5'-phosphate"", 76)"	"(""Cytidine 5'-monophosphate"", 72)"	('Guanosine diphosphate', 69)	"(""Guanosine 5'-diphosphate"", 65)"	('Tetramannose phosphate', 64)	('Deoxyraffinose', 64)	('Pentamannose phosphate', 64)	('Adenosine diphosphoglucose', 63)	('Trehalose 6-phosphate', 61)	('Dolichyl phosphate D-mannose', 61)
Ornithine	('Mycothione', 63)	('Chondroitin 6-sulfate', 60)	('Chondroitin 4-sulfate', 60)	('Chondroitin 6-sulfate', 60)	('Chondroitin 4-sulfate', 60)	('LNT', 60)	('Chondroitin', 60)	('Chondroitin 6-sulfate', 60)	('Chondroitin 4-sulfate', 60)	('Chondroitin 6-sulfate', 60)
Butyryl-[acyl-carrier protein]	('LST c', 54)	('Rutin', 54)	('LST a', 54)	('Mannoprotein', 52)	('Mannoprotein', 52)	('Saponin', 51)	('Saponin', 51)	('saponin', 51)	('Heparin', 51)	('Heparin', 51)
L-Malic acid	('UDP-D-glucuronic acid', 86)	('UDP-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('Polysialic acid (PSA)', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('NCAM polysialic acid', 86)	('UDP-D-galacturonic acid', 86)	('Alginic acid', 75)	('Alginic acid', 75)
(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('r-Lactotetraose-HSA', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GalpNAc-1-3-Galp', 86)	"(""VI3VI'3(NeuAc)2-iso-nLc8-Cer"", 86)"	('Core 3-sialyl-Tn', 86)	"(""3'-Galactosyllactose"", 86)"	('Gymnepregoside C(3)', 86)
4,4-Dimethyl-14Alpha-Formyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	('1,4-alpha-D-Glucan', 86)	('1,4-alpha-Glucan', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('Chondroitin 4-sulfate', 86)	('1,4-beta-D-Xylan', 86)	('(1,4-beta-D-Xylan)n', 86)	('(1,4-beta-D-Xylan)n+1', 86)	('Chondroitin 4-sulfate', 86)	('4-O-Methylglucuronoxylan', 86)	('Chondroitin 4-sulfate', 86)
Xylulose 5-phosphate	('MS 5', 86)	('Triploside 5', 86)	('Zwitterionic glycosphingolipid 5', 86)	('Glycolipid 5', 86)	('GL-5', 86)	"(""Maltose 6'-phosphate"", 75)"	"(""Lactose 6'-phosphate"", 75)"	"(""Sucrose 6'-phosphate"", 75)"	('Sucrose 6F-phosphate', 75)	('Trehalose 6-phosphate', 73)
6-Phosphogluconic acid	"(""6'-SL"", 86)"	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('Alginic acid', 86)	('alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('1,6-alpha-D-Mannosyloligosaccharide', 86)	('6-Kestose', 86)	('Alginic acid', 86)	"(""6'-LM1"", 86)"	"(""6-Fucosyl-N,N'-diacetylchitobiose"", 86)"
Adenylsuccinic acid	('Alginic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Pectic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('Hyaluronic acid', 65)	('UDP-glucuronic acid', 63)
Glucose 6-phosphate	"(""Lactose 6'-phosphate"", 87)"	"(""Sucrose 6'-phosphate"", 87)"	('Sucrose 6F-phosphate', 87)	"(""6'-SL"", 86)"	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('Dolichyl D-glucosyl phosphate', 86)	('ADP-glucose', 86)	('1,6-alpha-D-Mannosyloligosaccharide', 86)
5,10-Methenyltetrahydrofolic acid	"(""Adenosine 5'-phosphate"", 86)"	('Pharbitic acid D', 86)	('Ls-10; OJV-VI', 86)	('Alginic acid', 86)	('Pharbitic acid B', 86)	('Hyaluronic acid', 86)	('Alginic acid', 86)	('UDP-D-glucuronic acid', 86)	('UDP-glucuronic acid', 86)	('Triploside 5', 86)
(S)-Dihydroorotate	('NodRm-IV(S)', 86)	('NodRm-V(S)', 86)	('Dihydroacarbose', 62)	('Dihydroacarbose', 62)	"(""SGL-I'"", 54)"	('SGL-I', 54)	"(""6''-Aldehydoraffinose"", 53)"	('LST a', 51)	('Raffuronate', 50)	('Hyaluronate', 50)
Putrescine	('Aescin', 75)	('Pectin', 62)	('Penaustroside', 61)	('Trestatin A', 57)	('Reiniose', 56)	('Reiniose', 56)	('escin-Ia', 56)	('escin-Ib', 56)	('Reiniose', 56)	('Rutinose', 56)
5'-Thymidylic acid	('MS 5', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Triploside 5', 86)	('Alginic acid', 86)	('Pectic acid', 86)	('Alginic acid', 86)	('Alginic acid', 86)	('Zwitterionic glycosphingolipid 5', 86)	('Alginic acid', 86)
Lanosterol	('LA', 90)	('Panose', 75)	('Planteose', 63)	('Levantetraose', 61)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)
D-Ribulose 5-phosphate	('Aldoligose D', 86)	('UDP-D-xylose', 86)	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	('3-Deoxy-D-manno-octulosonyl-lipid IV(A)', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('MS 5', 86)	('1-alpha-D-Galactosyl-D-myo-inositol', 86)	('Ophiopogonin-D', 86)	('Tenuifoliose D', 86)	('1,6-alpha-D-Mannosyloligosaccharide', 86)
Formic acid	('UDP-D-glucuronic acid', 86)	('UDP-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('Polysialic acid (PSA)', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('NCAM polysialic acid', 86)	('UDP-D-galacturonic acid', 86)	('Pectic acid', 64)	('Hyaluronic acid', 62)
AICAR	('Acarbose', 72)	('Dihydroacarbose', 72)	('Acarviosine-glucose', 72)	('Dihydroacarbose', 72)	('Acetan', 55)	('Ga2Cer', 55)	('LacCer', 55)	('GalCer', 55)	('Chacotriose', 54)	('Chacotrioside', 54)
NADH	('Sulfoadhesin', 68)	('Nadroparin Calcium', 68)	('GalNAcDSLc4', 68)	(nan, 57)	(nan, 57)	(nan, 57)	(nan, 57)	(nan, 57)	(nan, 57)	(nan, 57)
Dimethylallylpyrophosphate	('Dolichyl phosphate', 64)	('Dolichyl D-glucosyl phosphate', 62)	('Dolichyl D-mannosyl phosphate', 62)	('Trehalose 6-phosphate', 60)	('LA', 60)	('Dolichol phosphate', 59)	"(""Maltose 6'-phosphate"", 57)"	('Dismally Le(a)', 56)	('Dolichyl phosphate D-mannose', 56)	('Xylan', 54)
SAICAR	('Chito-oligosaccharide', 60)	('Dihydroacarbose', 60)	('Maltosaccharide', 60)	('Eicosasaccharide', 60)	('LS-tetrasaccharide c', 60)	('Nigerosaccharide', 60)	('1,6-alpha-D-Mannosyloligosaccharide', 60)	('Stavaroside', 60)	('Linear B type 2 trisaccharide', 60)	('Xylosaccharide', 60)
Acetyl-[acyl-carrier protein]	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 86)	('9-O-Acetyl-GT2', 86)	('9-O-Acetyl-GD2', 86)	('Acetyl-maltose', 86)	('beta-D-Glucosyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol', 86)	('9-O-Acetyl-GD3', 86)	('N-Acetyl heparosan', 86)	('7-O-Acetyl-GD3', 86)	('Acetyl-gitoxin', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)
Glutathione	('LNT', 60)	('Glucan', 60)	('galabiose', 60)	('Glucan', 60)	('UDP-N-acetyl-D-glucosamine', 58)	('UDP-N-acetylglucosamine', 58)	('beta-1,4-Poly-N-acetyl-D-glucosamine', 58)	('Aspartylglucosamine', 58)	('beta-1,4-Poly-D-glucosamine', 58)	('Galactinol', 57)
Ferrocytochrome C	('C-mycoside', 86)	('LST c', 86)	('Senegose C', 86)	('Andirobicin C gentiobioside', 86)	('Viridotriose C', 52)	('Sucrose', 51)	('Stachyose', 50)	('3-Ketosucrose', 50)	('sophorose', 50)	('LS-tetrasaccharide c', 49)
5,10-Methylene-THF	('MS 5', 86)	('Triploside 5', 86)	('Zwitterionic glycosphingolipid 5', 86)	('Glycolipid 5', 86)	('GL-5', 86)	('Lex', 60)	('LNH', 60)	('LNneoT', 60)	('LNT', 60)	('LND-I', 54)
Acetoacetyl-CoA	('Acetan', 75)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 60)	('Lc4', 60)	('Penta-acetyl-gitoxin', 57)	"(""6''-O-acetyl-saikosaponin A"", 57)"	('Lactosyl fructose', 56)	('9-O-Acetyl-GT2', 55)	('9-O-Acetyl-GD2', 55)	('Acetyl-maltose', 55)	('9-O-Acetyl-GD3', 55)
2-Oxoglutaramate	('GL-2', 86)	('IV3Gala,IV2Fuc,II3(NeuAc)2-Gg4-Cer', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('DWA-2', 86)	('DS 2', 86)	('alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('GD1b a-gal derivative; IV3(Gal)2a,II3(NeuAc)2-Gg4-Cer', 86)	('IV3Fuc,II3(NeuAc)2-Gg4-Cer', 86)	('IV3FucII3(NeuAc)2-Gg4-Cer', 86)
(R)-3-Hydroxypalmitoyl-[acyl-carrier protein]	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('r-Lactotetraose-HSA', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GalpNAc-1-3-Galp', 86)	"(""VI3VI'3(NeuAc)2-iso-nLc8-Cer"", 86)"	('Core 3-sialyl-Tn', 86)	"(""3'-Galactosyllactose"", 86)"	('Gymnepregoside C(3)', 86)
L-Glutamate 5-semialdehyde	('MS 5', 86)	('UDP-L-arabinose', 86)	('GDP-L-fucose', 86)	('Triploside 5', 86)	('Glycolipid 5', 86)	('GL-5', 86)	('GL-2', 64)	('GL-3', 64)	('GL-4', 64)	('GL-1', 64)
