RxnId	Equation	Definition
R01071	C02739 + C00013 <=> C00002 + C00119	1-(5-Phospho-D-ribosyl)-ATP + Diphosphate <=> ATP + 5-Phospho-alpha-D-ribose 1-diphosphate
R02768	C00173 + C01209 <=> C00685 + C00011 + C00229	Acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> 3-Oxoacyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein
R04355	C03939 + C01209 <=> C05744 + C00011 + C00229	Acetyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Acetoacetyl-[acp] + CO2 + Acyl-carrier protein
R04726	C05223 + C01209 <=> C05759 + C00011 + C00229	Dodecanoyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> 3-Oxotetradecanoyl-[acp] + CO2 + Acyl-carrier protein
R04952	C05745 + C01209 <=> C05746 + C00011 + C00229	Butyryl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxohexanoyl-[acp] + CO2 + Acyl-carrier protein
R04957	C05749 + C01209 <=> C05750 + C00011 + C00229	Hexanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxooctanoyl-[acp] + CO2 + Acyl-carrier protein
R04960	C05752 + C01209 <=> C05753 + C00011 + C00229	Octanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxodecanoyl-[acp] + CO2 + Acyl-carrier protein
R04963	C05755 + C01209 <=> C05756 + C00011 + C00229	Decanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxododecanoyl-[acp] + CO2 + Acyl-carrier protein
R04968	C05761 + C01209 <=> C05762 + C00011 + C00229	Tetradecanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxohexadecanoyl-[acp] + CO2 + Acyl-carrier protein
R10115	C19673 + C01209 <=> C20372 + C00011 + C00229	Malonyl-[acp] methyl ester + Malonyl-[acyl-carrier protein] <=> 3-Ketoglutaryl-[acp] methyl ester + CO2 + Acyl-carrier protein
R10119	C20375 + C01209 <=> C20376 + C00011 + C00229	Glutaryl-[acp] methyl ester + Malonyl-[acyl-carrier protein] <=> 3-Ketopimeloyl-[acp] methyl ester + CO2 + Acyl-carrier protein
R00841	C00093 + C00001 <=> C00116 + C00009	sn-Glycerol 3-phosphate + H2O <=> Glycerol + Orthophosphate
R00479	C00311 <=> C00042 + C00048	Isocitrate <=> Succinate + Glyoxylate
R02649	C00002 + C00624 <=> C00008 + C04133	ATP + N-Acetyl-L-glutamate <=> ADP + N-Acetyl-L-glutamate 5-phosphate
R03443	C01250 + C00009 + C00006 <=> C04133 + C00005 + C00080	N-Acetyl-L-glutamate 5-semialdehyde + Orthophosphate + NADP+ <=> N-Acetyl-L-glutamate 5-phosphate + NADPH + H+
R02017	C00206 + C00343 + C00001 <=> C00342 + C00008	dADP + Thioredoxin disulfide + H2O <=> Thioredoxin + ADP
R02019	C00361 + C00343 + C00001 <=> C00035 + C00342	dGDP + Thioredoxin disulfide + H2O <=> GDP + Thioredoxin
R02024	C00705 + C00343 + C00001 <=> C00342 + C00112	dCDP + Thioredoxin disulfide + H2O <=> Thioredoxin + CDP
R08363	C04232 + C16664 + C00001 <=> C03723 + C16663	2'-Deoxyribonucleoside diphosphate + Tryparedoxin disulfide + H2O <=> Ribonucleoside diphosphate + Tryparedoxin
R08364	C04232 + C03170 + C00001 <=> C03723 + C02090	2'-Deoxyribonucleoside diphosphate + Trypanothione disulfide + H2O <=> Ribonucleoside diphosphate + Trypanothione
R11893	C21750 + C00343 + C00001 <=> C21748 + C00342	5-Fluorodeoxyuridine diphosphate + Thioredoxin disulfide + H2O <=> 5-Fluorouridine diphosphate + Thioredoxin
R00264	C00433 + C00006 + C00001 <=> C00026 + C00005 + C00080	2,5-Dioxopentanoate + NADP+ + H2O <=> 2-Oxoglutarate + NADPH + H+
R00631	C00071 + C00003 + C00001 <=> C00162 + C00004 + C00080	Aldehyde + NAD+ + H2O <=> Fatty acid + NADH + H+
R00710	C00084 + C00003 + C00001 <=> C00033 + C00004 + C00080	Acetaldehyde + NAD+ + H2O <=> Acetate + NADH + H+
R00904	C05665 + C00003 + C00001 <=> C00099 + C00004 + C00080	3-Aminopropanal + NAD+ + H2O <=> beta-Alanine + NADH + H+
R01752	C00577 + C00003 + C00001 <=> C00258 + C00004 + C00080	D-Glyceraldehyde + NAD+ + H2O <=> D-Glycerate + NADH + H+
R01986	C00555 + C00006 + C00001 <=> C00334 + C00005 + C00080	4-Aminobutyraldehyde + NADP+ + H2O <=> 4-Aminobutanoate + NADPH + H+
R02549	C00555 + C00003 + C00001 <=> C00334 + C00004 + C00080	4-Aminobutyraldehyde + NAD+ + H2O <=> 4-Aminobutanoate + NADH + H+
R02678	C00637 + C00003 + C00001 <=> C00954 + C00004 + C00080	Indole-3-acetaldehyde + NAD+ + H2O <=> Indole-3-acetate + NADH + H+
R02940	C05985 + C00003 + C00001 <=> C00804 + C00004 + C00080	2-Propynal + NAD+ + H2O <=> Propynoate + NADH + H+
R02957	C02670 + C00003 + 2 C00001 <=> C00818 + C00004 + C00080	D-Glucuronolactone + NAD+ + 2 H2O <=> D-Glucarate + NADH + H+
R03283	C01149 + C00003 + C00001 <=> C01181 + C00004 + C00080	4-Trimethylammoniobutanal + NAD+ + H2O <=> 4-Trimethylammoniobutanoate + NADH + H+
R03869	C06002 + C00003 + C00001 <=> C02170 + C00004 + C00080	(S)-Methylmalonate semialdehyde + NAD+ + H2O <=> Methylmalonate + NADH + H+
R04065	C05130 + C00003 + C00001 <=> C02835 + C00004 + C00080	Imidazole-4-acetaldehyde + NAD+ + H2O <=> Imidazole-4-acetate + NADH + H+
R04506	C05445 + C00003 + C00001 <=> C04554 + C00004 + C00080	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al + NAD+ + H2O <=> 3alpha,7alpha-Dihydroxy-5beta-cholestanate + NADH + H+
R04903	C05634 + C00003 + C00001 <=> C05635 + C00080 + C00004	5-Hydroxyindoleacetaldehyde + NAD+ + H2O <=> 5-Hydroxyindoleacetate + H+ + NADH
R05050	C05936 + C00003 + C00001 <=> C02946 + C00004 + C00080	N4-Acetylaminobutanal + NAD+ + H2O <=> 4-Acetamidobutanoate + NADH + H+
R05237	C06613 + C00001 <=> C06614 + 2 C00080	trans-3-Chloroallyl aldehyde + H2O <=> trans-3-Chloroacrylic acid + 2 H+
R05238	C16348 + C00001 <=> C06615 + 2 C00080	cis-3-Chloroallyl aldehyde + H2O <=> cis-3-Chloroacrylic acid + 2 H+
R05286	C06754 + C00003 + C00001 <=> C06755 + C00004 + C00080	Chloroacetaldehyde + NAD+ + H2O <=> Chloroacetic acid + NADH + H+
R06366	C02576 + C00001 + C00003 <=> C11924 + C00004 + C00080	Perillyl aldehyde + H2O + NAD+ <=> Perillic acid + NADH + H+
R08146	C03461 + C00003 + C00001 <=> C16502 + C00004 + C00080	2-trans,6-trans-Farnesal + NAD+ + H2O <=> Farnesoic acid + NADH + H+
R01513	C00197 + C00003 <=> C03232 + C00004 + C00080	3-Phospho-D-glycerate + NAD+ <=> 3-Phosphonooxypyruvate + NADH + H+
R00985	C00251 + C00014 <=> C00108 + C00022 + C00001	Chorismate + Ammonia <=> Anthranilate + Pyruvate + H2O
R00986	C00251 + C00064 <=> C00108 + C00022 + C00025	Chorismate + L-Glutamine <=> Anthranilate + Pyruvate + L-Glutamate
R04405	C04489 + C00155 <=> C04144 + C00073	5-Methyltetrahydropteroyltri-L-glutamate + L-Homocysteine <=> Tetrahydropteroyltri-L-glutamate + L-Methionine
R09365	C05698 + C04489 <=> C05335 + C04144	Selenohomocysteine + 5-Methyltetrahydropteroyltri-L-glutamate <=> L-Selenomethionine + Tetrahydropteroyltri-L-glutamate
R07412	C15672 + C00001 + 2 C00028 <=> C15670 + 2 C00030	Heme O + H2O + 2 Acceptor <=> Heme A + 2 Reduced acceptor
R11861	C00051 <=> C01419 + C01879	Glutathione <=> Cys-Gly + 5-Oxoproline
R02301	C00002 + C03479 + C00080 <=> C00008 + C00009 + C00445	ATP + Folinic acid + H+ <=> ADP + Orthophosphate + 5,10-Methenyltetrahydrofolate
R00778	C00086 <=> C01566 + C00001	Urea <=> Cyanamide + H2O
R07456	C00118 + C00199 + C00064 <=> C00018 + C00025 + C00009 + 3 C00001	D-Glyceraldehyde 3-phosphate + D-Ribulose 5-phosphate + L-Glutamine <=> Pyridoxal phosphate + L-Glutamate + Orthophosphate + 3 H2O
R10089	C00117 + C00118 + C00064 <=> C00018 + C00025 + 3 C00001 + C00009	D-Ribose 5-phosphate + D-Glyceraldehyde 3-phosphate + L-Glutamine <=> Pyridoxal phosphate + L-Glutamate + 3 H2O + Orthophosphate
R01011	C00002 + C00184 <=> C00008 + C00111	ATP + Glycerone <=> ADP + Glycerone phosphate
R01059	C00002 + C00577 <=> C00008 + C00118	ATP + D-Glyceraldehyde <=> ADP + D-Glyceraldehyde 3-phosphate
R01818	C00275 <=> C00636	D-Mannose 6-phosphate <=> D-Mannose 1-phosphate
R00369	C00041 + C00048 <=> C00022 + C00037	L-Alanine + Glyoxylate <=> Pyruvate + Glycine
R00372	C00037 + C00026 <=> C00048 + C00025	Glycine + 2-Oxoglutarate <=> Glyoxylate + L-Glutamate
R00585	C00065 + C00022 <=> C00168 + C00041	L-Serine + Pyruvate <=> Hydroxypyruvate + L-Alanine
R00588	C00065 + C00048 <=> C00168 + C00037	L-Serine + Glyoxylate <=> Hydroxypyruvate + Glycine
R01698	C00579 + C00003 <=> C00248 + C00004 + C00080	Dihydrolipoamide + NAD+ <=> Lipoamide + NADH + H+
R03815	C02972 + C00003 <=> C02051 + C00004 + C00080	Dihydrolipoylprotein + NAD+ <=> Lipoylprotein + NADH + H+
R07618	C15973 + C00003 <=> C15972 + C00004 + C00080	Enzyme N6-(dihydrolipoyl)lysine + NAD+ <=> Enzyme N6-(lipoyl)lysine + NADH + H+
R02058	C00024 + C00352 <=> C00010 + C00357	Acetyl-CoA + D-Glucosamine 6-phosphate <=> CoA + N-Acetyl-D-glucosamine 6-phosphate
R00292	C00029 + C00718 <=> C00015 + C00718	UDP-glucose + Amylose <=> UDP + Amylose
R05802	C00002 + C04549 <=> C00008 + C11556	ATP + 1-Phosphatidyl-1D-myo-inositol 3-phosphate <=> ADP + 1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate
R10951	C00002 + C01194 <=> C00008 + C11557	ATP + 1-Phosphatidyl-D-myo-inositol <=> ADP + 1-Phosphatidyl-1D-myo-inositol 5-phosphate
R03013	C01100 + C00001 <=> C00860 + C00009	L-Histidinol phosphate + H2O <=> L-Histidinol + Orthophosphate
R00858	C00283 + 3 C00006 + 3 C00001 <=> C00094 + 3 C00005 + 3 C00080	Hydrogen sulfide + 3 NADP+ + 3 H2O <=> Sulfite + 3 NADPH + 3 H+
R03348	C01185 + C00013 + C00011 <=> C03722 + C00119	Nicotinate D-ribonucleotide + Diphosphate + CO2 <=> Quinolinate + 5-Phospho-alpha-D-ribose 1-diphosphate
R01286	C02291 + C00001 <=> C00155 + C00014 + C00022	L-Cystathionine + H2O <=> L-Homocysteine + Ammonia + Pyruvate
R04941	C05699 + C00001 <=> C05698 + C00014 + C00022	L-Selenocystathionine + H2O <=> Selenohomocysteine + Ammonia + Pyruvate
R12188	C02882 + C00001 <=> C00145 + C00014 + C00022	L-Cysteine-S-conjugate + H2O <=> Thiol + Ammonia + Pyruvate
R00191	C00575 + C00001 <=> C00020	3',5'-Cyclic AMP + H2O <=> AMP
R01234	C00942 + C00001 <=> C00144	3',5'-Cyclic GMP + H2O <=> GMP
R05578	C01641 + C00025 + C00002 <=> C02987 + C00013 + C00020	tRNA(Glu) + L-Glutamate + ATP <=> L-Glutamyl-tRNA(Glu) + Diphosphate + AMP
R04144	C00002 + C03090 + C00037 <=> C00008 + C00009 + C03838	ATP + 5-Phosphoribosylamine + Glycine <=> ADP + Orthophosphate + 5'-Phosphoribosylglycinamide
R04208	C00002 + C04640 <=> C00008 + C00009 + C03373	ATP + 2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine <=> ADP + Orthophosphate + Aminoimidazole ribotide
R01175	C00136 + C00016 <=> C01352 + C00877	Butanoyl-CoA + FAD <=> FADH2 + Crotonoyl-CoA
R01279	C00154 + C00016 <=> C05272 + C01352	Palmitoyl-CoA + FAD <=> trans-Hexadec-2-enoyl-CoA + FADH2
R03777	C01944 + C00016 <=> C05276 + C01352	Octanoyl-CoA + FAD <=> trans-Oct-2-enoyl-CoA + FADH2
R03857	C01832 + C00016 <=> C03221 + C01352	Lauroyl-CoA + FAD <=> 2-trans-Dodecenoyl-CoA + FADH2
R03990	C02593 + C00016 <=> C05273 + C01352	Tetradecanoyl-CoA + FAD <=> trans-Tetradec-2-enoyl-CoA + FADH2
R04751	C05270 + C00016 <=> C05271 + C01352	Hexanoyl-CoA + FAD <=> trans-Hex-2-enoyl-CoA + FADH2
R04754	C05274 + C00016 <=> C05275 + C01352	Decanoyl-CoA + FAD <=> trans-Dec-2-enoyl-CoA + FADH2
R07888	C16327 + C00016 <=> C16328 + C01352	OPC8-CoA + FAD <=> trans-2-Enoyl-OPC8-CoA + FADH2
R07892	C16331 + C00016 <=> C16332 + C01352	OPC6-CoA + FAD <=> trans-2-Enoyl-OPC6-CoA + FADH2
R07896	C16335 + C00016 <=> C16336 + C01352	OPC4-CoA + FAD <=> trans-2-Enoyl-OPC4-CoA + FADH2
R07934	C16168 + C00007 <=> C16374 + C00027	(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA + Oxygen <=> (2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenoyl-CoA + Hydrogen peroxide
R07950	C16172 + C00007 <=> C16387 + C00027	(6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA + Oxygen <=> (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexaenoyl-CoA + Hydrogen peroxide
R12356	C00100 + C00007 <=> C00894 + C00027	Propanoyl-CoA + Oxygen <=> Propenoyl-CoA + Hydrogen peroxide
R00694	C00079 + C00026 <=> C00166 + C00025	L-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + L-Glutamate
R00734	C00082 + C00026 <=> C01179 + C00025	L-Tyrosine + 2-Oxoglutarate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate
R01939	C00956 + C00026 <=> C00322 + C00025	L-2-Aminoadipate + 2-Oxoglutarate <=> 2-Oxoadipate + L-Glutamate
R00221	C00740 <=> C00022 + C00014	D-Serine <=> Pyruvate + Ammonia
R01714	C01269 <=> C00251 + C00009	5-O-(1-Carboxyvinyl)-3-phosphoshikimate <=> Chorismate + Orthophosphate
R01224	C00440 + C00006 <=> C00143 + C00005 + C00080	5-Methyltetrahydrofolate + NADP+ <=> 5,10-Methylenetetrahydrofolate + NADPH + H+
R00103	C00003 + C00001 <=> C00020 + C00455	NAD+ + H2O <=> AMP + Nicotinamide D-ribonucleotide
R03004	C00857 + C00001 <=> C00020 + C01185	Deamino-NAD+ + H2O <=> AMP + Nicotinate D-ribonucleotide
R11104	C00004 + C00001 <=> C00020 + C21113	NADH + H2O <=> AMP + NMNH
R05973	G10614 + G00003 <=> G10620 + G00004	GDP-D-mannose + G00003 <=> GDP + G00004
R06238	G10614 + G00004 <=> G10620 + G00005	GDP-D-mannose + G00004 <=> GDP + G00005
R02222	C00412 + 2 C00999 + C00007 + 2 C00080 <=> C00510 + 2 C00996 + 2 C00001	Stearoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Oleoyl-CoA + 2 Ferricytochrome b5 + 2 H2O
R12173	C00154 + 2 C00999 + C00007 + 2 C00080 <=> C21072 + 2 C00996 + 2 C00001	Palmitoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Palmitoleoyl-CoA + 2 Ferricytochrome b5 + 2 H2O
R00036	2 C00430 <=> C00931 + 2 C00001	2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O
R08599	G10614 + G10694 <=> G10620 + G01813	GDP-D-mannose + G10694 <=> GDP + G01813
R01268	C00153 + C00001 <=> C00253 + C00014	Nicotinamide + H2O <=> Nicotinate + Ammonia
R05979	C00001 + G00009 <=> C00221 + G00171	H2O + G00009 <=> beta-D-Glucose + G00171
R02722	C00065 + C03506 <=> C00078 + C00118 + C00001	L-Serine + Indoleglycerol phosphate <=> L-Tryptophan + D-Glyceraldehyde 3-phosphate + H2O
R04216	C04213 + C03021 <=> C00621 + C11572	Dolichyl diphosphooligosaccharide + Protein asparagine <=> Dolichyl diphosphate + Glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine
R05641	C01694 + C00006 <=> C05440 + C00005 + C00080	Ergosterol + NADP+ <=> Ergosta-5,7,22,24(28)-tetraen-3beta-ol + NADPH + H+
R03968	C02504 <=> C02631 + C00001	alpha-Isopropylmalate <=> 2-Isopropylmaleate + H2O
R04001	C04411 <=> C02631 + C00001	(2R,3S)-3-Isopropylmalate <=> 2-Isopropylmaleate + H2O
R10170	C04411 <=> C02504	(2R,3S)-3-Isopropylmalate <=> alpha-Isopropylmalate
R07494	C15808 + C00006 <=> C15816 + C00005 + C00080 + C00011	4alpha-Methylzymosterol-4-carboxylate + NADP+ <=> 3-Keto-4-methylzymosterol + NADPH + H+ + CO2
R12404	C22112 + C00006 <=> C22136 + C00005 + C00080 + C00011	4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol + NADP+ <=> Zymosterone + NADPH + H+ + CO2
R02038	C00063 + C00346 <=> C00013 + C00570	CTP + Ethanolamine phosphate <=> Diphosphate + CDP-ethanolamine
R04247	C00063 + C03557 <=> C00013 + C05673	CTP + 2-Aminoethylphosphonate <=> Diphosphate + CMP-2-aminoethylphosphonate
R00897	C00979 + C00283 <=> C00097 + C00033	O-Acetyl-L-serine + Hydrogen sulfide <=> L-Cysteine + Acetate
R03601	C00979 + C01528 <=> C05688 + C00033	O-Acetyl-L-serine + Hydrogen selenide <=> L-Selenocysteine + Acetate
R04859	C00979 + C00320 + C00342 + C00080 <=> C00097 + C00094 + C00343 + C00033	O-Acetyl-L-serine + Thiosulfate + Thioredoxin + H+ <=> L-Cysteine + Sulfite + Thioredoxin disulfide + Acetate
R07274	C01005 + C00283 <=> C00097 + C00009	O-Phospho-L-serine + Hydrogen sulfide <=> L-Cysteine + Orthophosphate
R00908	C00099 + C00026 <=> C00222 + C00025	beta-Alanine + 2-Oxoglutarate <=> 3-Oxopropanoate + L-Glutamate
R01648	C00334 + C00026 <=> C00232 + C00025	4-Aminobutanoate + 2-Oxoglutarate <=> Succinate semialdehyde + L-Glutamate
R04188	C03284 + C00026 <=> C06002 + C00025	L-3-Aminoisobutanoate + 2-Oxoglutarate <=> (S)-Methylmalonate semialdehyde + L-Glutamate
R03118	C00029 + C00965 <=> C00015 + C00965	UDP-glucose + 1,3-beta-D-Glucan <=> UDP + 1,3-beta-D-Glucan
R01004	C00621 + C00001 <=> C00110 + C00009	Dolichyl diphosphate + H2O <=> Dolichyl phosphate + Orthophosphate
R01827	C05382 + C00118 <=> C00279 + C05345	Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + beta-D-Fructose 6-phosphate
R07509	C05108 + 6 C00999 + 3 C00007 + 6 C00080 <=> C15808 + 6 C00996 + 4 C00001	14-Demethyllanosterol + 6 Ferrocytochrome b5 + 3 Oxygen + 6 H+ <=> 4alpha-Methylzymosterol-4-carboxylate + 6 Ferricytochrome b5 + 4 H2O
R10057	C04530 + 6 C00999 + 3 C00007 + 6 C00080 <=> C04840 + 6 C00996 + 4 C00001	4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol + 6 Ferrocytochrome b5 + 3 Oxygen + 6 H+ <=> 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate + 6 Ferricytochrome b5 + 4 H2O
R12403	C05103 + 6 C00999 + 3 C00007 + 6 C00080 <=> C22112 + 6 C00996 + 4 C00001	4alpha-Methylzymosterol + 6 Ferrocytochrome b5 + 3 Oxygen + 6 H+ <=> 4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol + 6 Ferricytochrome b5 + 4 H2O
R04463	C00002 + C04376 + C00064 + C00001 <=> C00008 + C00009 + C04640 + C00025	ATP + 5'-Phosphoribosyl-N-formylglycinamide + L-Glutamine + H2O <=> ADP + Orthophosphate + 2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine + L-Glutamate
R00578	C00002 + C00049 + C00064 + C00001 <=> C00020 + C00013 + C00152 + C00025	ATP + L-Aspartate + L-Glutamine + H2O <=> AMP + Diphosphate + L-Asparagine + L-Glutamate
R10685	C00003 + C00037 + C02743 <=> C20784 + C00153 + C21861 + 3 C00001	NAD+ + Glycine + [Protein]-L-cysteine <=> ADP-5-ethyl-4-methylthiazole-2-carboxylate + Nicotinamide + [Protein]-dehydroalanine + 3 H2O
R00891	C00065 + C00283 <=> C00097 + C00001	L-Serine + Hydrogen sulfide <=> L-Cysteine + H2O
R01290	C00065 + C00155 <=> C02291 + C00001	L-Serine + L-Homocysteine <=> L-Cystathionine + H2O
R04942	C00065 + C05698 <=> C05699 + C00001	L-Serine + Selenohomocysteine <=> L-Selenocystathionine + H2O
R02056	C00019 + C00350 <=> C00021 + C01241	S-Adenosyl-L-methionine + Phosphatidylethanolamine <=> S-Adenosyl-L-homocysteine + Phosphatidyl-N-methylethanolamine
R02055	C02737 <=> C00350 + C00011	Phosphatidylserine <=> Phosphatidylethanolamine + CO2
R03659	C00002 + C00073 + C01647 <=> C00020 + C00013 + C02430	ATP + L-Methionine + tRNA(Met) <=> AMP + Diphosphate + L-Methionyl-tRNA
R04773	C00002 + C05335 + C01647 <=> C00020 + C00013 + C05336	ATP + L-Selenomethionine + tRNA(Met) <=> AMP + Diphosphate + Selenomethionyl-tRNA(Met)
R02874	C00751 + C00007 + C03024 <=> C01054 + C03161 + C00001	Squalene + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> (S)-2,3-Epoxysqualene + [Oxidized NADPH---hemoprotein reductase] + H2O
R01061	C00118 + C00009 + C00003 <=> C00236 + C00004 + C00080	D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+
R01639	C00002 + C00310 <=> C00008 + C00231	ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate
R01890	C00063 + C00588 <=> C00013 + C00307	CTP + Choline phosphate <=> Diphosphate + CDP-choline
R02590	C00063 + C06459 <=> C00013 + C05674	CTP + N-Trimethyl-2-aminoethylphosphonate <=> Diphosphate + CMP-N-trimethyl-2-aminoethylphosphonate
R01514	C00002 + C00258 <=> C00008 + C00197	ATP + D-Glycerate <=> ADP + 3-Phospho-D-glycerate
R00582	C01005 + C00001 <=> C00065 + C00009	O-Phospho-L-serine + H2O <=> L-Serine + Orthophosphate
R06264	G10618 + G10599 <=> G10622 + G00008	Dolichyl D-glucosyl phosphate + G10599 <=> Dolichyl phosphate + G00008
R00756	C00002 + C00085 <=> C00008 + C00354	ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate
R03236	C01097 + C00002 <=> C03785 + C00008	D-Tagatose 6-phosphate + ATP <=> D-Tagatose 1,6-bisphosphate + ADP
R03237	C00063 + C01097 <=> C00112 + C03785	CTP + D-Tagatose 6-phosphate <=> CDP + D-Tagatose 1,6-bisphosphate
R03238	C00075 + C01097 <=> C00015 + C03785	UTP + D-Tagatose 6-phosphate <=> UDP + D-Tagatose 1,6-bisphosphate
R03239	C00081 + C01097 <=> C00104 + C03785	ITP + D-Tagatose 6-phosphate <=> IDP + D-Tagatose 1,6-bisphosphate
R04779	C00002 + C05345 <=> C00008 + C05378	ATP + beta-D-Fructose 6-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate
R00432	C00044 + C00042 + C00010 <=> C00035 + C00009 + C00091	GTP + Succinate + CoA <=> GDP + Orthophosphate + Succinyl-CoA
R00727	C00081 + C00042 + C00010 <=> C00104 + C00009 + C00091	ITP + Succinate + CoA <=> IDP + Orthophosphate + Succinyl-CoA
R00658	C00631 <=> C00074 + C00001	2-Phospho-D-glycerate <=> Phosphoenolpyruvate + H2O
R01528	C00345 + C00006 <=> C00199 + C00011 + C00005 + C00080	6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+
R10221	C00345 + C00003 <=> C00199 + C00011 + C00004 + C00080	6-Phospho-D-gluconate + NAD+ <=> D-Ribulose 5-phosphate + CO2 + NADH + H+
R00424	C00044 + C00001 <=> C04895 + C00058	GTP + H2O <=> 7,8-Dihydroneopterin 3'-triphosphate + Formate
R00428	C00044 + C00001 <=> C05922	GTP + H2O <=> Formamidopyrimidine nucleoside triphosphate
R04639	C04895 + C00001 <=> C06148	7,8-Dihydroneopterin 3'-triphosphate + H2O <=> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
R05046	C05922 + C00001 <=> C05923 + C00058	Formamidopyrimidine nucleoside triphosphate + H2O <=> 2,5-Diaminopyrimidine nucleoside triphosphate + Formate
R05048	C05923 <=> C06148	2,5-Diaminopyrimidine nucleoside triphosphate <=> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
R03035	C00002 + C01134 <=> C00013 + C00882	ATP + Pantetheine 4'-phosphate <=> Diphosphate + Dephospho-CoA
R01078	C01909 + C17023 + 2 C00019 + 2 C05359 + 2 C00080 <=> C00120 + 2 C00073 + 2 C05198	Dethiobiotin + Sulfur donor + 2 S-Adenosyl-L-methionine + 2 e- + 2 H+ <=> Biotin + 2 L-Methionine + 2 5'-Deoxyadenosine
R00847	C00002 + C00116 <=> C00008 + C00093	ATP + Glycerol <=> ADP + sn-Glycerol 3-phosphate
R04734	C15522 <=> C00268 + C00001	4a-Hydroxytetrahydrobiopterin <=> Dihydrobiopterin + H2O
R00289	C00075 + C00103 <=> C00013 + C00029	UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose
R06517	C00040 + C00836 <=> C00010 + C12126	Acyl-CoA + Sphinganine <=> CoA + Dihydroceramide
R06527	C12146 + C12144 <=> C00010 + C12145	C26-CoA + Phytosphingosine <=> CoA + Phytoceramide
R05640	C01724 + 3 C03024 + 3 C00007 <=> C11455 + C00058 + 3 C03161 + 4 C00001	Lanosterol + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> 4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol + Formate + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O
R05731	C01943 + 3 C03024 + 3 C00007 <=> C11508 + C00058 + 3 C03161 + 4 C00001	Obtusifoliol + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> 4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol + Formate + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O
R12323	C01724 + 6 C00138 + 6 C00080 + 3 C00007 <=> C11455 + C00058 + 6 C00139 + 4 C00001	Lanosterol + 6 Reduced ferredoxin + 6 H+ + 3 Oxygen <=> 4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol + Formate + 6 Oxidized ferredoxin + 4 H2O
R01086	C03406 <=> C00122 + C00062	N-(L-Arginino)succinate <=> Fumarate + L-Arginine
R01771	C00002 + C00263 <=> C00008 + C01102	ATP + L-Homoserine <=> ADP + O-Phospho-L-homoserine
